8	7	15	40					
7	8	59	40	6				
59	7	6	13					
13	59	6	30	55				
55	13	30	36	33				
33	55	36	41	61				
61	33	41	17					
17	61	41	32					
30	13	6	24	36	55			
6	7	40	34	63	24	30	13	59
24	6	63	10	36	30			
36	55	30	24	10	41	33		
41	36	10	20	32	17	61	33	
32	41	20	53	17				
15	42	34	40	8				
40	15	34	6	7	8			
10	63	27	12	20	41	36	24	
20	10	12	53	32	41			
34	15	42	57	39	21	63	6	40
63	34	21	27	10	24	6		
53	20	12	14	32				
42	57	34	15					
21	34	39	27	63				
27	21	39	4	12	10	63		
12	27	4	14	53	20	10		
14	12	4	62	53				
57	5	1	39	34	42			
39	57	1	19	4	27	21	34	
4	39	19	48	38	62	14	12	27
5	9	26	1	57				
1	5	26	19	39	57			
19	1	0	48	4	39			
48	19	0	28	49	38	4		
38	48	49	23	60	62	4		
62	4	38	18	14				
18	62	16	45					
45	18	16	31	52				
52	45	31	47	25	51	58		
58	52	51						
60	23	16	38					
16	60	23	2	31	45	18		
31	16	2	47	52	45			
51	52	25	35	58				
9	11	26	5					
26	9	11	56	0	1	5		
0	26	56	28	48	19			
28	0	56	22	49	48			
49	28	22	23	38	48	50	3	
23	49	22	3	2	16	60	38	
2	23	3	46	47	31	16		
47	2	46	29	44	52	31		
25	44	29	37	35	51	52		
35	25	37	43	51				
11	56	26	9					
56	11	22	28	0	26			
22	56	50	49	3	23	28		
3	22	49	50	54	29	46	2	23
46	3	29	47	2				
44	29	25	47					
43	37	35						
50	22	54	3	49				
54	50	29	3					
29	54	25	44	47	46	3		
37	25	43	35					
